source_site,job_title,institution,department_or_school,country,city_or_region,rank_type,area_specialization,contract_type,teaching_expectations,research_expectations,posted_date,deadline_or_review_date,salary_currency,salary_range,job_url,combined_urls,id,consortium_member
"ACJS, ASC",Assistant Professor,"California State University, Fresno","Department of Criminology, College of Social Sciences",United States,"Fresno, CA",Assistant Professor,Open,,,,2026-07-28,Open until filled,,,https://careers.acjs.org/job/assistant-professor/85301885/,"https://careers.acjs.org/job/assistant-professor/85301885/, https://www.fresnostate.edu/",418,
HigherEdJobs,Assistant Professor of Criminology & Criminal Justice Sciences,Barton College,School of Education & Social Sciences,United States,"Wilson, NC",Assistant Professor,Criminology and Criminal Justice Sciences,,,,2026-07-28,Open until filled,,,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179511167,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179511167,423,
HigherEdJobs,Assistant Professor of Criminal Justice,Chowan University,Department of Criminal Justice,United States,"Murfreesboro, NC",Assistant Professor,Criminal Justice,,,,2026-07-27,Open until filled,,,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179510793,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179510793,427,
ACJS,Assistant Professor of Criminal Justice (P10012987 / R0087910),UA Little Rock,School of Criminal Justice and Criminology,United States,"Little Rock, AR",Assistant Professor,Open (Criminology/Criminal Justice),,,,2026-07-24,Open until filled,,,https://careers.acjs.org/job/assistant-professor-of-criminal-justice-p10012987-r0087910/85238419/,https://careers.acjs.org/job/assistant-professor-of-criminal-justice-p10012987-r0087910/85238419/,398,
ASC,Assistant Professor of Criminal Justice,UA Little Rock,Department of Criminal Justice,United States,"Little Rock, AR",Assistant Professor,Open,,,,2026-07-24,Open until filled,,,https://ualr.edu/humanresources,https://ualr.edu/humanresources,401,
HigherEdJobs,Part-time Lecturer - Criminology,The University of Texas at Dallas,Department of Criminology,United States,"Dallas, TX",Other,Criminology,,,,2026-07-24,Open until filled,,,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179509160,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179509160,463,
ASC,Postdoctoral Fellowship,Indiana University,Criminology & Criminal Justice; Psychological and Brain Sciences,United States,"Bloomington, IN",Postdoctoral,"Criminology/Criminal Justice, Psychological and Brain Sciences",,,,2026-07-24,2026-10-15,,,https://indiana.peopleadmin.com/postings/33579,https://indiana.peopleadmin.com/postings/33579,400,
"ASC, HigherEdJobs","Assistant Professor of Criminology, Criminal Justice, and Emergency Management","California State University, Long Beach","School of Criminology, Criminal Justice, and Emergency Management",United States,"Long Beach, CA",Assistant Professor,"Open (Criminology, Criminal Justice, Emergency Management)",,,,2026-07-24,Open until filled,,,https://csucareers.calstate.edu/mob/cw/en-us/job/560229/assistant-professor-of-criminology-criminal-justice-and-emergency-management,"https://csucareers.calstate.edu/mob/cw/en-us/job/560229/assistant-professor-of-criminology-criminal-justice-and-emergency-management, https://www.higheredjobs.com/faculty/details.cfm?JobCode=179508272",399,
jobs.ac.uk,Assistant Professor in Criminology - Teaching and Curriculum Leadership (Fixed Term),University of Nottingham,School of Sociology and Social Policy,United Kingdom,Nottingham,Assistant Professor,Criminology - Teaching and Curriculum Leadership,,,,2026-07-23,2026-08-23,,,https://www.jobs.ac.uk/job/DSJ066/assistant-professor-in-criminology-teaching-and-curriculum-leadership-fixed-term,https://www.jobs.ac.uk/job/DSJ066/assistant-professor-in-criminology-teaching-and-curriculum-leadership-fixed-term,470,
jobs.ac.uk,Senior Lecturer in Criminology,Liverpool Hope University,School of Law and Criminology,United Kingdom,Liverpool,Associate Professor,Criminology,,,,2026-07-23,2026-08-12,,,https://www.jobs.ac.uk/job/DSI997/senior-lecturer-in-criminology,https://www.jobs.ac.uk/job/DSI997/senior-lecturer-in-criminology,465,
jobs.ac.uk,Lecturer in Criminology - 2ACRIM26,Liverpool Hope University,School of Law and Criminology,United Kingdom,Liverpool,Assistant Professor,Criminology,,,,2026-07-23,2026-08-12,,,https://www.jobs.ac.uk/job/DSI990/lecturer-in-criminology-2acrim26,https://www.jobs.ac.uk/job/DSI990/lecturer-in-criminology-2acrim26,469,
HigherEdJobs,Assistant Professor of Criminal Justice,Texas A&M University - Central Texas,Department of Social Sciences,United States,"Killeen, TX",Assistant Professor,"Criminal Justice, Homeland Security",,,,2026-07-22,Open until filled,,,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179505598,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179505598,404,
HigherEdJobs,Instructor - Criminal Justice,Community College of Denver,CCD Social and Behavioral Sciences Pathway,United States,"Denver, CO",Other,"Criminal Justice (policing, corrections, and/or law)",,,,2026-07-22,Open until filled,,,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179506852,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179506852,464,
jobs.ac.uk,Lecturer in Criminology (Research and Teaching),University of Surrey,Department of Sociology,United Kingdom,Guildford,Assistant Professor,Criminology,,,,2026-07-21,2026-08-17,,,https://www.jobs.ac.uk/job/DSI157/lecturer-in-criminology-research-and-teaching,https://www.jobs.ac.uk/job/DSI157/lecturer-in-criminology-research-and-teaching,468,
HigherEdJobs,R0087910 - Assistant Professor of Criminal Justice,University of Arkansas at Little Rock,School of Criminal Justice and Criminology,United States,"Little Rock, AR",Assistant Professor,Open specialization in Criminology/Criminal Justice,,,,2026-07-21,Open until filled,,,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179505119,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179505119,405,
ASC,Assistant Professor (Tenure Track) - Criminology (2027-2028),DePaul University,Department of Criminology,United States,"Chicago, IL",Assistant Professor,Criminology (open),,,,2026-07-21,2026-09-15,,,https://academics.depaul.edu/faculty-jobs/Pages/position-detail.aspx?dpusearchbyid=921297,https://academics.depaul.edu/faculty-jobs/Pages/position-detail.aspx?dpusearchbyid=921297,402,
HigherEdJobs,"Faculty, Criminal Justice (Security Management), Full-Time, Tenure-Track",Salem State University,Criminal Justice Department,United States,"Salem, MA",Assistant Professor,Security Management / Homeland Security,,,,2026-07-18,Open until filled,,,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179504056,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179504056,406,
HigherEdJobs,Assistant Professor (Tenure Track) - Criminology (27-28),DePaul University,Criminology Department,United States,"Chicago, IL",Assistant Professor,Criminology,,,,2026-07-18,2026-09-15,,,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179503571,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179503571,407,
