source_site,job_title,institution,department_or_school,country,city_or_region,rank_type,area_specialization,contract_type,teaching_expectations,research_expectations,posted_date,deadline_or_review_date,salary_currency,salary_range,job_url,combined_urls,id,consortium_member
TSPA,Abuse Investigator – Child Safety,OpenAI,,United States,"San Francisco, CA; Remote",Other,Trust and Safety,,,,2026-07-06,,,,https://jobs.ashbyhq.com/openai/19b9af1a-6a6e-42e3-824b-a9f3794fef2b,https://jobs.ashbyhq.com/openai/19b9af1a-6a6e-42e3-824b-a9f3794fef2b,349,
TSPA,Trust and Safety Support Specialist,Lovable,,Sweden,Stockholm,Other,Trust and Safety,,,,2026-07-06,,,,https://lovable.dev/careers/trust-and-safety-support-specialist-99fc7e,https://lovable.dev/careers/trust-and-safety-support-specialist-99fc7e,351,
TSPA,"Trust & Safety Specialist, Law Enforcement Response",Instacart,,United States,Remote,Other,Trust and Safety,,,,2026-07-06,,,,https://www.instacart.careers/job?gh_jid=8001105,https://www.instacart.careers/job?gh_jid=8001105,335,
TSPA,"Technical Program Manager, Generative AI Safety",Google,,Singapore,Singapore,Other,Program/Product Management,,,,2026-07-06,,,,https://www.google.com/about/careers/applications/jobs/results/105277671478305478-technical-program-manager/,https://www.google.com/about/careers/applications/jobs/results/105277671478305478-technical-program-manager/,347,
TSPA,"Policy Development Lead, YouTube Trust and Safety",Google,,United States,"San Bruno, CA",Other,Policy,,,,2026-07-06,,,,https://www.google.com/about/careers/applications/jobs/results/110174350807573190-policy-development-lead/,https://www.google.com/about/careers/applications/jobs/results/110174350807573190-policy-development-lead/,348,
TSPA,Trust & Safety Senior Specialist,G2,,United States,Remote,Other,Trust and Safety,,,,2026-07-06,,,,https://jobs.ashbyhq.com/g2/f7f0cb40-ce1d-4684-95b8-853e33f612ee,https://jobs.ashbyhq.com/g2/f7f0cb40-ce1d-4684-95b8-853e33f612ee,337,
TSPA,Trust and Safety Specialist,Fansly,,United States,Remote,Other,Trust and Safety,,,,2026-07-06,,,,https://fansly.applytojob.com/apply/kgkF76DvyE/Trust-And-Safety-Specialist,https://fansly.applytojob.com/apply/kgkF76DvyE/Trust-And-Safety-Specialist,338,
TSPA,"Senior Product Manager, Trust & Safety, Integrity and Fraud",DoorDash,,United States,"San Francisco, CA; Seattle, WA; New York, NY; Chicago, IL",Other,Program/Product Management,,,,2026-07-06,,,,https://job-boards.greenhouse.io/doordashusa/jobs/7071290,https://job-boards.greenhouse.io/doordashusa/jobs/7071290,336,
TSPA,"Program Manager I, Ops Trust",Amazon,,India,"Bengaluru, KA",Other,Operations,,,,2026-07-06,,,,https://www.amazon.jobs/en/jobs/10426671/program-manager-i-ops-trust,https://www.amazon.jobs/en/jobs/10426671/program-manager-i-ops-trust,342,
TSPA,"Supervisor, Fraud Investigations",Airbnb,,India,Gurugram,Other,Trust and Safety,,,,2026-07-06,,,,https://careers.airbnb.com/positions/8007130/,https://careers.airbnb.com/positions/8007130/,343,
jobs.ac.uk,Postdoctoral Research Associate,University of Oxford,Department of Sociology,United Kingdom,Oxford,Postdoctoral,Cybercrime / Youth Hacking,,,,2026-07-01,2026-09-01,,,https://www.jobs.ac.uk/job/DSC583/postdoctoral-research-associate,https://www.jobs.ac.uk/job/DSC583/postdoctoral-research-associate,472,
TSPA,Abuse Investigator,OpenAI,,United States,"New York, NY; Remote",Other,Trust and Safety,,,,2026-05-12,,,,https://jobs.ashbyhq.com/openai/49a16d46-bf3e-4806-a8af-a0e48c26336c,https://jobs.ashbyhq.com/openai/49a16d46-bf3e-4806-a8af-a0e48c26336c,114,
ASC,"Assistant Professor, Administration of Justice",University of Hawaii at Hilo,Administration of Justice Program,United States,"Hilo, HI",Assistant Professor,Administration of Justice; Law Enforcement,,,,2026-05-07,Open until filled,,,https://www.neogov.com/,https://www.neogov.com/,170,
ASC,Visiting Instructor in Criminal Justice,Purdue University Fort Wayne,Department of Criminal Justice,United States,"Fort Wayne, IN",Visiting,"Criminal Justice, Criminology, or closely related field",,,,2026-04-06,Open until filled,,,https://careers.purdue.edu/FW/job/Visiting-Instructor-in-Criminal-Justice/41388-en_US,https://careers.purdue.edu/FW/job/Visiting-Instructor-in-Criminal-Justice/41388-en_US,4,
